"Word"|"synonyms"|"antonyms"|"related_to"|"origin"
"wafflestomper"|"brogans,brogues,wafflestompers,work boots"|""|"clodhoppers"|""
"wafflestompers"|"brogans,brogues,work boots"|""|"clodhoppers"|""
"waffle"|"vacillate,flip-flop,equivocate,change,yo-yo,change one's mind"|""|"diffuse,inconstant,indecisive,irresolute,on the fence,undecided"|"waffle 1744, from Du. wafel ""waffle,"" from M.Du. or M.L.G. wafel; cognate with O.H.G. waba ""honeycomb"" (Ger. Wabe) and related to O.H.G. weban, O.E. wefan ""to weave"" (see weave). Sense of ""honeycomb"" is preserved in some combinations referring to a weave of cloth. Waffle iron is from 1794."
"wafflings"|"dodge,evasion,confusing statement,equivocal saying,misleading statement,misleading word,suppressio veri,waffling"|""|"weasel word"|""
"waft"|"float,drift,blow,ride,bear,convey,transmit,transport,be carried"|"take,hold,keep"|"air,blow,breath,breeze,carry,drift"|"waft 1513, ""to carry over water,"" back-formation from obs. wafter ""convoy ship"" (1482), from M.Du. or M.L.G. wachter ""a guard,"" from wachten ""to guard,"" related to waken ""rouse from sleep"" (see wake (1)). The meaning ""pass through air or space, float"" is first attested 1704, and possibly shows some influence of northern dialect waff ""cause to move to and fro"" (1513), a variant of wave."
"waft"|"float,drift,blow,ride,bear,convey,transmit,transport,be carried"|"take,hold,keep"|"blown,blow,carry,drift,float,glide"|"waft 1513, ""to carry over water,"" back-formation from obs. wafter ""convoy ship"" (1482), from M.Du. or M.L.G. wachter ""a guard,"" from wachten ""to guard,"" related to waken ""rouse from sleep"" (see wake (1)). The meaning ""pass through air or space, float"" is first attested 1704, and possibly shows some influence of northern dialect waff ""cause to move to and fro"" (1513), a variant of wave."
"waft"|"float,drift,blow,ride,bear,convey,transmit,transport,be carried"|"take,hold,keep"|"wind,floating,blow,carry,drift,float"|"waft 1513, ""to carry over water,"" back-formation from obs. wafter ""convoy ship"" (1482), from M.Du. or M.L.G. wachter ""a guard,"" from wachten ""to guard,"" related to waken ""rouse from sleep"" (see wake (1)). The meaning ""pass through air or space, float"" is first attested 1704, and possibly shows some influence of northern dialect waff ""cause to move to and fro"" (1513), a variant of wave."
"waftings"|"gust,air,gale,breeze,cyclone,blast,blow,whisk,whiff,flutter,breath,flurry,draft,typhoon,puff,tempest,whirlwind,wafting,draught,zephyr,chinook,mistral"|"calm"|"wind"|""
"wag"|"madcap,trickster,kibitzer,jester,jokester,joker,wit,comedian,clown,zany,comic,humorist,card,prankster,droll,farceur,quipster,show-off,punster,a million laughs,cutup,funny person,funster,kidder,life of the party,wisecracker"|"calm,stay,leave alone,be still"|"buffoon,clown,comedian,comic,flap,flourish"|"wag early 13c., probably from a Scand. source (cf. O.N. vagga ""a cradle,"" Dan. vugge ""rock a cradle,"" O.Swed. wagga ""fluctuate""), and in part from O.E. wagian ""move backwards and forwards;"" all from P.Gmc. *wagojanan (cf. O.H.G. weggen, Goth. wagjan ""to wag""), probably from PIE base *wegh- ""to move about"" (see weigh). Wagtail is attested from c.1500 as a kind of small bird; 18c. as ""a harlot,"" but seems to be implied much earlier:""If therefore thou make not thy mistress a goldfinch, thou mayst chance to find her a wagtaile."" [Lyly, ""Midas,"" 1592]Wag-at-the-wall (1825) was an old name for a hanging  ...clock with pendulum and weights exposed."
"wage"|"do,prosecute,pursue,make,practice,undertake,conduct,fulfill,carry out,engage in,proceed with"|"destroy,cease,fail,lose,miss,neglect,halt,stop,forget"|"allowance,compensation,consideration,fee,fight,income"|"wage c.1300, ""a payment for services rendered,"" also in M.E. ""a pledge of security"" (1338), from O.N.Fr. wage (O.Fr. guage) ""pledge,"" from Frank. *wadja- (cf. O.E. wedd, Gothic wadi ""pledge""); see wed. Mod.Fr. cognate gages (pl.) means ""wages of a domestic,"" one of a plethora of Fr. words for different classes, e.g. traitement (university professor), paye, salaire (workman), solde (soldier), récompense, prix. The O.E. (and usual Gmc.) word was lean, related to loan (cf. Goth. laun, Du. loon, Ger. lohn)"
"wage earner"|"breadwinner,employee,jobholder,income producer,one who brings home the bacon,salaried worker,staff member,staffer,wage slave,wageworker"|""|"worker,employee,grass roots,working class,jobholder"|""
"wage earning"|"middle-class,proletariat,working class,proletarian,factory-working,lower-class,wage-earning"|"white-collar"|"blue-collar"|""
"wage peace"|"pour oil on troubled waters,practice non violence"|""|"keep the peace"|""
"wage slave"|"breadwinner,employee,jobholder,income producer,one who brings home the bacon,salaried worker,staff member,staffer,wageworker"|""|"wage earner"|""
"wage slaves"|"breadwinner,employee,jobholder,income producer,one who brings home the bacon,salaried worker,staff member,staffer,wage slave,wageworker"|""|"wage earner"|""
"wage war"|"protect,clash,challenge,resist,attack,battle,meet,withstand,traverse,wrestle,bicker,tiff,scuffle,wrangle,contend,tussle,tilt,scrap,grapple,spar,strive,war,dispute,brawl,assault,struggle,tug,box,buck,duel,rowdy,joust,feud,repel,skirmish,oppugn,quarrel,bear arms,cross swords,altercate,bandy with,brush with,carry on war,do battle,exchange blows,flare up,go to war,mix it up,ply weapons,take all comers,take the field,take up the gauntlet"|"surrender,give in,uphold,yield,agree,make peace,believe,support"|"fight,skirmish,war,come to blows"|""
"wage-earner"|"breadwinner,employee,jobholder,income producer,one who brings home the bacon,salaried worker,staff member,staffer,wage slave,wageworker"|"hindrance,obstruction,master,check"|"wage earner,employee,jobholder,grass roots,working class"|""
"wage-earners"|"Middle America,common people,hoi polloi,middle class,proletariat,rank and file,working class,laboring class,the masses,working people"|"hindrance,obstruction,master,check"|"grass roots,working class,employee,jobholder"|""
"wage-earning"|"middle-class,proletariat,working class,proletarian,factory-working,lower-class"|"white-collar"|"blue-collar"|""
"wage"|"do,prosecute,pursue,make,practice,undertake,conduct,fulfill,carry out,engage in,proceed with"|"destroy,cease,fail,lose,miss,neglect,halt,stop,forget"|"fight,make,prosecute,pursue"|"wage c.1320, ""to pledge, deposit as a pledge,"" from O.N.Fr. wagier (O.Fr. gagier), from wage (see wage (n.)). Meaning ""to carry on"" (of war, etc.) is attested from 1456, probably from earlier sense of ""to offer as a gage of battle"" (c.1430)."
"waged peace"|"pour oil on troubled waters,practice non violence,wage peace"|""|"keep the peace"|""
"waged war"|"protect,clash,challenge,resist,attack,battle,meet,withstand,traverse,wrestle,bicker,tiff,scuffle,wrangle,contend,tussle,tilt,scrap,grapple,spar,strive,war,dispute,brawl,assault,struggle,tug,box,buck,duel,rowdy,joust,feud,repel,skirmish,oppugn,quarrel,bear arms,cross swords,altercate,bandy with,brush with,carry on war,do battle,exchange blows,flare up,go to war,mix it up,ply weapons,take all comers,take the field,take up the gauntlet,wage war"|"surrender,give in,uphold,yield,agree,make peace,believe,support"|"fight,skirmish,war,come to blows"|""
"wageearner"|"member,laborer,clerk,worker,agent,representative,operator,attendant,plug,slave,help,servant,assistant,hireling,domestic,hand,breadwinner,salesperson,cog,jobholder,apprentice,craftsperson,desk jockey,hired gun,hired hand,staff member,blue collar,company person,pink collar,sales help,wage-earner,white collar,working stiff"|"hindrance,obstruction,master,check"|"employee,grass roots,working class,jobholder"|""
"wageearners"|"member,laborer,clerk,worker,agent,representative,operator,attendant,plug,slave,help,servant,assistant,hireling,domestic,hand,breadwinner,salesperson,cog,jobholder,apprentice,craftsperson,desk jockey,hired gun,hired hand,staff member,blue collar,company person,pink collar,sales help,wage-earner,white collar,working stiff"|"hindrance,obstruction,master,check"|"employee,grass roots,working class,jobholder"|""
"wageearning"|"middle-class,proletariat,working class,proletarian,factory-working,lower-class,wage-earning"|"white-collar"|"blue-collar"|""
"wager"|"bet,play,plunge,hunch,pledge,challenge,pot,stake,hazard,action,flyer,toss-up,venture,ante,handle,hedge,parlay,chunk,gamble,risk,long shot,fighting chance,fifty-fifty,odds on,outside chance"|"reality,protection,safeguard,safety,proof,certainty,surety"|"bank on,bet,bet,chance,chance,chance"|"wager c.1300, from Anglo-Fr. wageure, from O.N.Fr. wagier ""to pledge"" (see wage (n.)). The verb is first recorded c.1600."
"wagerer"|"gambler,player,gamester,high roller,plunger"|""|"bettor"|"wager c.1300, from Anglo-Fr. wageure, from O.N.Fr. wagier ""to pledge"" (see wage (n.)). The verb is first recorded c.1600."
"wagerers"|"gambler,player,gamester,high roller,wagerer,plunger"|""|"bettor"|"wager c.1300, from Anglo-Fr. wageure, from O.N.Fr. wagier ""to pledge"" (see wage (n.)). The verb is first recorded c.1600."
"wagerings"|"game of chance,draw,flier,pool,stake,sweep,lots,disposition,gambling,speculation,wager,drawing,bet,betting,sweepstake,tossup,gaming,wagering,numbers,long odds,numbers game,random shot"|""|"raffle"|""
"wages"|"salary,hire,pay,compensation,earnings,income"|"debt,bills"|"wage,acquisition,earnings,price,recompense,revenue"|"wage c.1320, ""to pledge, deposit as a pledge,"" from O.N.Fr. wagier (O.Fr. gagier), from wage (see wage (n.)). Meaning ""to carry on"" (of war, etc.) is attested from 1456, probably from earlier sense of ""to offer as a gage of battle"" (c.1430)."
"wages after tax"|"net income,net earnings,net pay,net wages,real wages,take-home,take-home income,taxable income,wages after taxes"|""|"take-home pay"|""
"wages after taxes"|"net income,net earnings,net pay,net wages,real wages,take-home,take-home income,taxable income"|""|"take-home pay"|""
"wages after taxis"|"net income,net earnings,net pay,net wages,real wages,take-home,take-home income,taxable income,wages after taxes"|""|"take-home pay"|""
"wages peace"|"pour oil on troubled waters,practice non violence,wage peace"|""|"keep the peace"|""
"wages war"|"protect,clash,challenge,resist,attack,battle,meet,withstand,traverse,wrestle,bicker,tiff,scuffle,wrangle,contend,tussle,tilt,scrap,grapple,spar,strive,war,dispute,brawl,assault,struggle,tug,box,buck,duel,rowdy,joust,feud,repel,skirmish,oppugn,quarrel,bear arms,cross swords,altercate,bandy with,brush with,carry on war,do battle,exchange blows,flare up,go to war,mix it up,ply weapons,take all comers,take the field,take up the gauntlet,wage war"|"surrender,give in,uphold,yield,agree,make peace,believe,support"|"fight,skirmish,war,come to blows"|""
"wageworker"|"breadwinner,employee,jobholder,income producer,one who brings home the bacon,salaried worker,staff member,staffer,wage slave"|""|"wage earner"|""
"wageworkers"|"breadwinner,employee,jobholder,income producer,one who brings home the bacon,salaried worker,staff member,staffer,wage slave,wageworker"|""|"wage earner"|""
"wag"|"quiver,swing,nod,sway,shake,vibrate,wave,beat,switch,shimmy,rock,lash,waggle,bob,twitch,stir,flutter,oscillate,fish-tail,move side to side"|"calm,stay,leave alone,be still"|"flap,flourish,oscillate,swing,waggle,wave"|"wag early 13c., probably from a Scand. source (cf. O.N. vagga ""a cradle,"" Dan. vugge ""rock a cradle,"" O.Swed. wagga ""fluctuate""), and in part from O.E. wagian ""move backwards and forwards;"" all from P.Gmc. *wagojanan (cf. O.H.G. weggen, Goth. wagjan ""to wag""), probably from PIE base *wegh- ""to move about"" (see weigh). Wagtail is attested from c.1500 as a kind of small bird; 18c. as ""a harlot,"" but seems to be implied much earlier:""If therefore thou make not thy mistress a goldfinch, thou mayst chance to find her a wagtaile."" [Lyly, ""Midas,"" 1592]Wag-at-the-wall (1825) was an old name for a hanging  ...clock with pendulum and weights exposed."
"wagger"|"rear end,rear,butt,buttocks,end,reverse,extremity,train,behind,stub,appendage,posterior,tag,tush,rump,conclusion,rudder,tailpiece,empennage,caudal appendage,fag end,hind end,hind part,hindmost part,last part,tag end"|"commencement,beginning,start,front,head"|"tail,tail end"|"wag early 13c., probably from a Scand. source (cf. O.N. vagga ""a cradle,"" Dan. vugge ""rock a cradle,"" O.Swed. wagga ""fluctuate""), and in part from O.E. wagian ""move backwards and forwards;"" all from P.Gmc. *wagojanan (cf. O.H.G. weggen, Goth. wagjan ""to wag""), probably from PIE base *wegh- ""to move about"" (see weigh). Wagtail is attested from c.1500 as a kind of small bird; 18c. as ""a harlot,"" but seems to be implied much earlier:""If therefore thou make not thy mistress a goldfinch, thou mayst chance to find her a wagtaile."" [Lyly, ""Midas,"" 1592]Wag-at-the-wall (1825) was an old name for a hanging  ...clock with pendulum and weights exposed."
"waggeries"|"playfulness,evil,wrongdoing,vandalism,misconduct,prank,sabotage,catastrophe,harm,misbehavior,frolicsomeness,impishness,misfortune,sportiveness,roguery,friskiness,outrage,injury,mischievousness,hurt,wrong,gag,waggishness,rascality,naughtiness,shenanigans,fault,ill,roguishness,transgression,atrocity,devilry,high jinks,monkey business,misdoing,waggery,devilment,dirty trick,funny business,waywardness"|"advantage,behavior,obedience,happiness,aid,benefit,blessing,good,help,right,kindness"|"mischief,drollery,drollness,funniness,impishness,mischievousness"|""
"waggers"|"rear end,rear,butt,buttocks,end,reverse,extremity,train,behind,stub,appendage,posterior,tag,tush,rump,conclusion,rudder,tailpiece,empennage,caudal appendage,fag end,hind end,hind part,hindmost part,last part,tag end,wagger"|"commencement,beginning,start,front,head"|"tail,tail end"|"wag early 13c., probably from a Scand. source (cf. O.N. vagga ""a cradle,"" Dan. vugge ""rock a cradle,"" O.Swed. wagga ""fluctuate""), and in part from O.E. wagian ""move backwards and forwards;"" all from P.Gmc. *wagojanan (cf. O.H.G. weggen, Goth. wagjan ""to wag""), probably from PIE base *wegh- ""to move about"" (see weigh). Wagtail is attested from c.1500 as a kind of small bird; 18c. as ""a harlot,"" but seems to be implied much earlier:""If therefore thou make not thy mistress a goldfinch, thou mayst chance to find her a wagtaile."" [Lyly, ""Midas,"" 1592]Wag-at-the-wall (1825) was an old name for a hanging  ...clock with pendulum and weights exposed."
"waggery"|"playfulness,evil,wrongdoing,vandalism,misconduct,prank,sabotage,catastrophe,harm,misbehavior,frolicsomeness,impishness,misfortune,sportiveness,roguery,friskiness,outrage,injury,mischievousness,hurt,wrong,gag,waggishness,rascality,naughtiness,shenanigans,fault,ill,roguishness,transgression,atrocity,devilry,high jinks,monkey business,misdoing,devilment,dirty trick,funny business,waywardness"|"advantage,behavior,obedience,happiness,aid,benefit,blessing,good,help,right,kindness"|"mischief,drollery,drollness,funniness,impishness,mischievousness"|""
"wag"|"quiver,swing,nod,sway,shake,vibrate,wave,beat,switch,shimmy,rock,lash,waggle,bob,twitch,stir,flutter,oscillate,fish-tail,move side to side"|"calm,stay,leave alone,be still"|"flap,flourish,oscillate,swing,waggle,wave"|"wag early 13c., probably from a Scand. source (cf. O.N. vagga ""a cradle,"" Dan. vugge ""rock a cradle,"" O.Swed. wagga ""fluctuate""), and in part from O.E. wagian ""move backwards and forwards;"" all from P.Gmc. *wagojanan (cf. O.H.G. weggen, Goth. wagjan ""to wag""), probably from PIE base *wegh- ""to move about"" (see weigh). Wagtail is attested from c.1500 as a kind of small bird; 18c. as ""a harlot,"" but seems to be implied much earlier:""If therefore thou make not thy mistress a goldfinch, thou mayst chance to find her a wagtaile."" [Lyly, ""Midas,"" 1592]Wag-at-the-wall (1825) was an old name for a hanging  ...clock with pendulum and weights exposed."
